TTP ID;Phase;Technique Name;Description courte;Mitigations;;;
T1589;Resource Development;Gather Victim Identity Information;Collecte d’informations d’identité pendant la phase de préparation.;MFA obligatoire, surveillance des fuites d’informations et classification stricte des données personnelles.;;;
T1590;Resource Development;Gather Victim Network Information;Collecte de données réseau pendant la préparation.;Segmentation réseau, monitoring du trafic interne/externe et utilisation de honeypots pour détecter la collecte.;;;
T1591;Resource Development;Gather Victim Organization Information;Collecte d’informations organisationnelles pendant la phase de préparation.;Sensibilisation du personnel, contrôle des publications publiques et revue des droits d’accès aux documents internes.;;;
T1592;Resource Development;Gather Victim Host Information;Collecte d’informations sur les hôtes cibles avant l’intrusion.;Gestion centralisée de l’inventaire, patch management automatisé et détection d’interrogations non autorisées.;;;
T1190;Initial Access;Exploit Public-Facing Application;Exploitation d’une vulnérabilité dans une application exposée.;Patch management rapide, WAF/IPS, tests de pénétration réguliers et limitation du périmètre exposé.;;;
T1566;Initial Access;Phishing;Envoi de courriels frauduleux pour inciter à l’exécution ou à la divulgation.;Filtres anti?phishing, formation continue et DMARC/DKIM/SPF renforcés.;;;
T1195;Initial Access;Supply Chain Compromise;Compromission d’un fournisseur ou d’une chaîne logistique pour atteindre la cible.;Évaluation de la sécurité des fournisseurs, contrats de cybersécurité et monitoring des mises à jour logicielles.;;;
T1199;Initial Access;Trusted Relationship;Exploitation d’une relation de confiance (ex. partenaires).;Gestion stricte des accès inter?organisations, MFA inter?domaines et revues périodiques des accords de confiance.;;;
T1133;Initial Access;External Remote Services;Utilisation de services distants légitimes (ex. RDP, VPN).;MFA forte, restriction par IP autorisée et journalisation détaillée des connexions.;;;
T1193;Initial Access;Spearphishing Attachment;Envoi d’une pièce jointe malveillante ciblée.;Sandboxing des pièces jointes, filtrage MIME et sensibilisation à l’ouverture de fichiers inattendus.;;;
T1566.001;Initial Access;Phishing: Spearphishing Attachment;Envoi d’une pièce jointe malveillante ciblée à la victime.;Filtrage avancé des pièces jointes, sandboxing des fichiers, sensibilisation des utilisateurs et DMARC/DKIM/SPF renforcés.;;;
T1566.002;Initial Access;Phishing: Spearphishing Link;Envoi d’un lien URL malveillant incitant la victime à cliquer et à télécharger du code.;Filtrage URL, sandboxing des liens, protection anti?phishing, sensibilisation et utilisation de MFA pour les actions critiques.;;;
T1566.003;Initial Access;Phishing: Spearphishing via Service;Utilisation d’un service de messagerie ou de collaboration légitime pour diffuser du contenu malveillant.;Contrôle des partages externes, filtrage de contenu, MFA sur les comptes de service et surveillance des activités inhabituelles.;;;
T1189;Initial Access;Drive-by Compromise;Exploitation via site web compromis.;WAF, mise à jour du navigateur/plug?ins et filtrage du trafic web.;;;
T1200;Initial Access;Hardware Additions;Insertion de matériel malveillant (ex. USB Rubber Ducky).;Contrôle physique des actifs, désactivation de l’auto?run USB et monitoring des périphériques connectés.;;;
T1091;Initial Access;Replication Through Removable Media;Propagation via médias amovibles.;Politique de blocage des périphériques USB non autorisés et scans AV à chaque insertion.;;;
T1192;Initial Access;Spearphishing Link;Envoi d’un lien ciblé dans un e?mail pour amener la victime à visiter un site compromis.;Utiliser URL?rewriting protection, sandboxing des liens et formation à la méfiance vis?à?vis des liens inconnus.;;;
T1566.004;Initial Access;Phishing: Spearphishing Voice;Appels téléphoniques frauduleux (vishing).;Sensibilisation à la vérification d’identité vocale et utilisation de tokens OTP hors?ligne.;;;
T1195.001;Initial Access;Supply Chain Compromise: Compromise Software Dependencies and Development Tools;;Sécuriser les chaînes CI/CD, signer les artefacts et scanner les dépendances tierces.;;;
T1195.002;Initial Access;Supply Chain Compromise: Compromise Software Supply Chain;;Audits de fournisseurs, signatures numériques et vérification d’intégrité des paquets.;;;
T1195.003;Initial Access;Supply Chain Compromise: Compromise Hardware Supply Chain;;Contrôles d’intégrité physique du hardware, certificats de chaîne d’approvisionnement et audits fournisseurs.;;;
T1659;Initial Access;Content Injection;Injection de contenu malveillant dans un site légitime.;WAF avec protection contre l’injection, CSP strict et revue du code côté serveur.;;;
T1059;Execution;Command and Scripting Interpreter;Exécution de scripts ou commandes via un interpréteur.;Restriction des shells interactifs, contrôle d’accès aux interpréteurs et monitoring des appels système.;;;
T1059.001;Execution;PowerShell;Utilisation de PowerShell pour exécuter du code.;Contrainte d’exécution PowerShell (Constrained Language Mode), logging détaillé et désactivation du script non signé.;;;
T1059.003;Execution;Windows Command Shell;Exécution via cmd.exe.;Restriction des privilèges shell, audit des commandes exécutées et désactivation du script batch non autorisé.;;;
T1059.005;Execution;Visual Basic;Exécution de scripts VBScript.;Désactiver Windows Script Host si non utilisé et appliquer le contrôle d’application.;;;
T1059.006;Execution;Python;Exécution de scripts Python.;Limiter les environnements Python aux administrateurs, audit des modules importés et utilisation de virtualenv sécurisés.;;;
T1059.007;Execution;JavaScript;Exécution via moteur JavaScript (ex. wscript). ;Désactiver Windows Script Host ou limiter son usage aux comptes privilégiés.;;;
T1204;Execution;User Execution;Incitation à l’exécution par l’utilisateur (ex. clic sur un fichier). ;Sensibilisation à la méfiance vis?à?vis des fichiers inattendus et restrictions d’exécution via AppLocker/WDAC.;;;
T1204.001;Execution;Malicious Link;Lien malveillant incitant à l’exécution.;Filtrage URL, sandboxing du navigateur et MFA pour actions critiques après clic.;;;
T1204.002;Execution;Malicious File;Fichier malveillant exécuté par l’utilisateur.;Antivirus/EDR à jour, contrôle d’intégrité des exécutables et politique de blocage des extensions dangereuses.;;;
T1203;Execution;Exploitation for Client Execution;Exploitation de vulnérabilités client pour exécuter du code.;Patch management client, désactivation des composants inutiles (ex. Flash) et utilisation de navigateurs sécurisés.;;;
T1047;Execution;Windows Management Instrumentation;Abus de WMI pour exécuter du code.;Restreindre les droits WMI, audit des requêtes WMI et désactiver les scripts WMI non nécessaires.;;;
T1569;Execution;System Services;Abus des services système pour exécuter du code.;Utiliser le principe du moindre privilège sur les services, monitorer les créations/modifications de services.;;;
T1569.002;Execution;Service Execution;Exécution via création/modification d’un service Windows.;Contrôles d’intégrité sur les services Windows, journalisation des changements et signature numérique obligatoire.;;;
T1106;Execution;Native API;Appels directs aux API natives pour exécuter du code.;Surveillance comportementale du processus et restriction des appels API sensibles via AppLocker/WDAC.;;;
T1129;Execution;Execution through Module Load;Chargement dynamique de modules malveillants.;Contrôle d’intégrité des DLLs (AppLocker/WDAC), signatures numériques et monitoring du chargement de modules.;;;
T1559;Execution;Inter-Process Communication;Utilisation d’IPC pour exécuter ou contrôler du code.;Isolation des processus sensibles, audit des canaux IPC et limitation aux comptes autorisés.;;;
T1559.001;Execution;Component Object Model;Abus du COM pour exécuter du code.;Enregistrement limité des COM objects, signatures numériques et journalisation des activations COM.;;;
T1559.002;Execution;Dynamic Data Exchange;Abus du DDE pour exécuter du code.;Désactiver DDE dans les applications Office non nécessaires et filtrer les messages DDE entrants.;;;
T1053;Execution;Scheduled Task/Job;Planification de tâches pour exécuter du code.;Restreindre la création/modification de tâches aux comptes privilégiés et audit des tâches créées.;;;
T1053.005;Execution;Scheduled Task;Utilisation spécifique du planificateur Windows.;MFA pour modifications de tâches critiques et surveillance des tâches inhabituelles.;;;
T1098;Persistence;Account Manipulation;Modification ou création de comptes pour persister.;Revue périodique des comptes locaux/domaines, MFA obligatoire et journalisation des changements de compte.;;;
T1547;Persistence;Boot or Logon Autostart Execution;Enregistrement au démarrage ou à la connexion.;Utiliser AppLocker/WDAC pour restreindre les exécutables au démarrage et surveiller les clés Run/Startup.;;;
T1547.001;Persistence;Registry Run Keys / Startup Folder;Ajout d’entrées Run ou dossiers Startup.;Protection en écriture du registre RunKey via GPO et audit des modifications.;;;
T1547.004;Persistence;Winlogon Helper DLL;DLL chargée par Winlogon au login.;Signature obligatoire des DLLs Winlogon et restriction via AppLocker/WDAC.;;;
T1543;Persistence;Create or Modify System Process;Création/modification d’un processus système persistant.;Contrôles stricts sur les services système et journalisation détaillée.;;;
T1543.003;Persistence;Windows Service;Installation d’un service Windows persistant.;MFA pour création/modification de services, signatures numériques obligatoires.;;;
T1546;Persistence;Event Triggered Execution;Exécution déclenchée par un événement système.;Limiter les triggers aux comptes autorisés et auditer les modifications d’événements programmés.;;;
T1542;Persistence;Pre-OS Boot;Persistance avant le chargement du système OS.;Protection du firmware (Secure Boot), mise à jour du BIOS/UEFI et monitoring du bootloader.;;;
T1542.001;Persistence;System Firmware;Modification du firmware pour persister.;Secure Boot activé, validation firmware signé et contrôle d’intégrité matériel.;;;
T1136;Persistence;Create Account;Création d’un compte persistant.;Revue régulière des comptes créés, MFA obligatoire et suppression automatique des comptes inactifs.;;;
T1136.001;Persistence;Local Account;Création d’un compte local persistant.;Restriction aux administrateurs uniquement et audit des comptes locaux existants.;;;
T1136.002;Persistence;Domain Account;Création d’un compte domaine persistant pour l’attaquant.;Politiques fortes de mot?de?passe, MFA obligatoire pour les comptes à privilèges et revue périodique des comptes créés.;;;
T1197;Persistence;BITS Jobs;Utilisation du service BITS pour télécharger ou exécuter du code persistant.;Restreindre BITS aux usages approuvés via GPO, surveiller les jobs BITS inhabituels et bloquer les transferts vers des destinations non autorisées.;;;
T1053;Persistence;Scheduled Task/Job;Planification de tâches pour assurer la persistance.;Autoriser la création/modification de tâches uniquement aux comptes privilégiés, journaliser toutes les tâches créées et alerter sur les tâches hors?heure.;;;
T1547.009;Persistence;Shortcut Modification;Modification de raccourcis (.lnk) afin d’exécuter du code malveillant au lancement.;Restreindre la création/modification de raccourcis dans les répertoires critiques via GPO et surveiller les changements d’attributs .lnk.;;;
T1574;Persistence;Hijack Execution Flow;Redirection du flux d’exécution vers du code non autorisé (ex. DLL hijacking).;Utiliser AppLocker/WDAC pour valider les chemins de recherche des DLLs et vérifier les signatures des bibliothèques chargées.;;;
T1574.001;Persistence;DLL Search Order Hijacking;Abus de l’ordre de recherche des DLLs pour charger une DLL malveillante.;Supprimer les répertoires non sécurisés du PATH système et imposer la signature numérique obligatoire des DLLs.;;;
T1574.002;Persistence;DLL Side-Loading;Chargement d’une DLL malveillante depuis un répertoire autorisé.;Signature obligatoire des DLLs côté serveur et contrôle strict des répertoires contenant des DLLs exécutables via AppLocker/WDAC.;;;
T1068;Privilege Escalation;Exploitation for Privilege Escalation;Exploitation d’une vulnérabilité afin d’obtenir des privilèges supérieurs.;Patch management rapide, IDS/IPS pour détection d’exploits connus et principe du moindre privilège.;;;
T1548;Privilege Escalation;Abuse Elevation Control Mechanism;Abus de mécanismes d’élévation (ex. UAC) pour obtenir des droits administratifs.;Configurer UAC au niveau le plus élevé possible et restreindre l’accès aux API d’élévation aux comptes autorisés.;;;
T1548.002;Privilege Escalation;Bypass User Account Control;Contournement du UAC afin d’exécuter du code avec élévation.;Désactiver le mode auto?elevate sur les applications non approuvées et monitorer les élévations inattendues.;;;
T1134;Privilege Escalation;Access Token Manipulation;Vol ou modification de jetons d’accès pour usurper l’identité d’un compte privilégié.;Protection contre le vol de token via LSA Protection, audit des changements de token et EDR qui détecte l’escalade anormale.;;;
T1484;Privilege Escalation;Domain Policy Modification;Modification des politiques AD pour faciliter l’accès ou l’escalade.;Sécuriser AD avec MFA, journaliser toutes modifications GPO et restreindre qui peut modifier les politiques.;;;
T1484.001;Privilege Escalation;Group Policy Modification;Altération malveillante des GPOs afin d’obtenir des privilèges.;Contrôle strict des droits GPO, alertes sur modifications GPO hors heures ouvrées et approbation multi?personnes.;;;
T1543.003;Privilege Escalation;Windows Service;Création ou modification d’un service Windows pour obtenir des privilèges élevés.;MFA pour création/modification de services, signatures numériques obligatoires et audit des services installés.;;;
T1547;Privilege Escalation;Boot or Logon Autostart Execution;Enregistrement d’un composant qui s’exécute au démarrage ou à la connexion.;Utiliser AppLocker/WDAC pour restreindre les exécutables au démarrage et surveiller les clés Run/Startup.;;;
T1055;Privilege Escalation;Process Injection;Injection de code dans un processus légitime afin d’escalader les privilèges.;Détection comportementale EDR, limitation du chargement DLL non signé et sandboxing des processus élevés.;;;
T1055.001;Privilege Escalation;Dynamic-link Library Injection;Injection d’une DLL dans un processus cible.;Signature obligatoire des DLLs injectées et monitoring des appels LoadLibrary/SetWindowsHookEx.;;;
T1554;Privilege Escalation;Compromise Host Software Binary;Remplacement ou altération d’un binaire légitime du système.;Intégrité binaire via Microsoft Defender Application Control (MDAC) ou AppLocker et vérification hash régulière.;;;
T1555;Credential Access;Credentials from Password Stores;Extraction de mots?de?passe stockés dans des gestionnaires ou navigateurs.;Chiffrement local obligatoire, MFA sur accès aux coffres?forts et désactivation du stockage en clair.;;;
T1557;Credential Access;Adversary-in-the-Middle;Interception des communications pour voler ou manipuler les identifiants.;TLS strict avec validation certificate pinning, détection d’anomalies réseau (IDS) et segmentation réseau.;;;
T1556;Credential Access;Modify Authentication Process;Altération du processus d’authentification (ex. DLL d’authentification).;Secure Boot & code signing + audit des modifications aux librairies d’authentification système.;;;
T1556.002;Credential Access;Password Filter DLL;Installation d’une DLL filtre mot?de?passe malveillante.;Restreindre l’installation aux administrateurs uniquement et signer toutes les DLLs filtres.;;;
T1027;Defense Evasion;Obfuscated Files or Information;Utilisation de fichiers ou scripts obfusqués pour éviter la détection.;Analyse dynamique/sandboxing obligatoire, détection heuristique AV/EDR et interdiction du code non signé.;;;
T1027.002;Defense Evasion;Software Packing;Emballage du malware avec un packer afin de masquer son contenu.;Dépacker en sandbox avant exécution et signatures numériques obligatoires.;;;
T1036;Defense Evasion;Masquerading;Déguisement de fichiers/processus légitimes pour tromper les défenses.;Contrôles d’intégrité sur binaires système, listes blanches via AppLocker/WDAC.;;;
T1036.001;Defense Evasion;Invalid Code Signature;Utilisation de signatures invalides pour masquer le malware.;Rejet automatique des exécutables sans signature valide via politique OS.;;;
T1036.004;Defense Evasion;Masquerade Task or Service;Renommage trompeur d’un service ou d’une tâche légitime.;Audit régulier des noms/services critiques et alertes sur changements inattendus.;;;
T1497;Defense Evasion;Virtualization/Sandbox Evasion;Détection et contournement d’environnements virtuels ou sandbox.;Obfuscation supplémentaire combinée à anti?debugging et monitoring des artefacts VM par les défenses.;;;
T1562;Defense Evasion;Impair Defenses;Désactivation ou altération de mécanismes défensifs (AV/EDR).;Politique “defense?in?depth”, monitoring continu des services sécurité et alertes sur arrêts inattendus.;;;
T1562.001;Defense Evasion;Disable or Modify Tools;Désactivation ou modification d’outils de sécurité légitimes.;Restriction admin uniquement sur services AV/EDR, journalisation des arrêts/restarts.;;;
T1562.004;Defense Evasion;Disable or Modify System Firewall;Désactivation ou modification du pare?feu système.;GPO qui empêche la désactivation du firewall sans approbation admin et audit continu du statut firewall.;;;
T1562.009;Defense Evasion;Safe Mode Boot;Forçage du démarrage en mode sans échec pour contourner les protections.;Protection BIOS/UEFI avec mot?de?passe, désactivation du boot menu sans authentification.;;;
T1070;Defense Evasion;Indicator Removal;Effacement d’artefacts indiquant une compromission.;Journalisation immuable (WORM), alertes sur suppression massive de logs/events.;;;
T1070.004;Defense Evasion;File Deletion;Suppression de fichiers malveillants ou de logs.;Intégrité file?system en lecture?seule pour répertoires critiques ou alertes sur suppressions inhabituelles.;;;
T1140;Defense Evasion;Deobfuscate/Decode Files or Information;Déobfuscation par l’adversaire pour rendre le code lisible.;Détection heuristique lors de décodage dynamique en sandbox & limitation des fonctions decode natives.;;;
T1202;Defense Evasion;Indirect Command Execution;Exécution indirecte via scripts ou autres intermédiaires.;Restriction sur scripts autorisés via AppLocker/WDAC et audit des appels système indirects.;;;
T1218;Defense Evasion;System Binary Proxy Execution;Abus de binaires système légitimes comme proxy (ex. rundll32).;Liste blanche stricte des binaires système autorisés à être invoqués avec arguments non standards.;;;
T1218.011;Defense Evasion;Rundll32;Abus spécifique de rundll32.exe pour exécuter du code malveillant.;Restriction via AppLocker/WDAC sur arguments rundll32 non approuvés et monitoring des appels rundll32.exe.;;;
T1222;Defense Evasion;File and Directory Permissions Modification;Modification des ACLs pour accéder à des ressources protégées.;Audit continu des changements ACLs critiques (auditpol) & alertes sur modifications hors procédure.;;;
T1553;Defense Evasion;Subvert Trust Controls;Altération ou contournement de mécanismes de confiance (ex. certificats). ;Gestion stricte PKI, révocation rapide des certificats compromis & monitoring des ajouts trust stores.;;;
T1553.002;Defense Evasion;Code Signing;Utilisation abusive ou falsifiée de signatures code.;Politique “sign only trusted publishers”, validation stricte lors du chargement DLL/exe.;;;
T1553.003;Defense Evasion;Subvert Trust Controls: Install Root Certificate;Installation d’un certificat racine malveillant dans le magasin système.;Contrôle strict sur l’ajout de certificats racine via GPO & surveillance du magasin certs système.;;;
T1620;Defense Evasion;Reflective Code Loading;Chargement réflexif en mémoire sans fichier disque visible.;Détection comportementale EDR qui repère mmap/exécution en mémoire non liée à un fichier disque.;;;
T1622;Defense Evasion;Debugger Evasion;Techniques anti?debugger pour éviter l’analyse.;Obfuscation supplémentaire + monitoring du lancement sous débogueur par EDR/AV.;;;
T1003;Credential Access;OS Credential Dumping;Extraction directe d’identifiants depuis le système (LSASS etc.). ;Patch OS régulièrement, LSA Protection activée & restriction accès LSASS aux admins uniquement.;;;
T1003.001;Credential Access;LSASS Memory;Dump mémoire LSASS pour récupérer mots?de?passe.;Enable Credential Guard & restreindre les droits d’accès au processus LSASS aux comptes administratifs uniquement.;;;
T1003.002;Credential Access;Security Account Manager;Vol du SAM contenant les hashes Windows.;Chiffrer le SAM avec BitLocker & restreindre l’accès admin local uniquement.;;;
T1003.003;Credential Access;NTDS;Exportation de la base NTDS depuis un contrôleur de domaine.;Sécuriser AD avec Tiered Administration & monitorer les exportations AD DB.;;;
T1558;Credential Access;Steal or Forge Kerberos Tickets;Vol ou falsification de tickets Kerberos (Golden/TGT). ;Implémenter Kerberos Armoring & monitorer anomalies ticket usage (détection de Golden Ticket).;;;
T1558.003;Credential Access;Kerberoasting;Extraction de hashes de comptes de service via Kerberos.;Limiter le nombre de comptes SPN exposés & appliquer mots?de?passe forts + détection de requêtes TGS anormales.;;;
T1558.004;Credential Access;AS-REP Roasting;Exploitation AS?REP sans pré?authentification pour récupérer hashes.;Désactiver AS?REP pre?auth où possible & monitorer requêtes AS?REP anormales.;;;
T1552;Credential Access;Unsecured Credentials;Stockage non protégé (scripts contenant mots?de?passe). ;Interdire stockage clair dans scripts/configs & chiffrer secrets avec vaults (HashiCorp Vault, Azure Key Vault).;;;
T1552.001;Credential Access;Credentials In Files;Mots?de?passe présents dans fichiers texte/plans.;Scanner régulièrement les dépôts git/public & appliquer DLP pour empêcher fuite de fichiers contenant des credentials.;;;
T1110;Credential Access;Brute Force;Tentatives massives deviner/cracker mots?de?passe.;MFA obligatoire, verrouillage compte après X tentatives & surveillance anomalies login failures.;;;
T1110.001;Credential Access;Password Guessing;Essais simples par dictionnaire ou liste courte.;Politiques mot?de?passe fortes + MFA + détection rapide des échecs répétés.;;;
T1110.003;Credential Access;Password Spraying;Tentatives d’authentification à faible fréquence sur de nombreux comptes pour éviter le verrouillage.;MFA obligatoire, verrouillage du compte après plusieurs échecs, détection d’anomalies de connexion multi?utilisateur et limitation du taux de tentatives.;;;
T1087;Discovery;Account Discovery;Énumération des comptes locaux et de domaine présents sur le système cible.;Restreindre l’accès aux API d’annuaire via ACLs, journaliser les requêtes net user / net group et limiter les privilèges de découverte aux besoins métier.;;;
T1087.001;Discovery;Local Account;Identification des comptes locaux existants sur la machine cible.;Restreindre l’accès aux outils de gestion de comptes locaux, auditer l’usage de net localgroup et appliquer le principe du moindre privilège.;;;
T1087.002;Discovery;Domain Account;Identification des comptes de domaine actifs et leurs attributs.;Surveiller les requêtes LDAP massives, restreindre les droits de lecture AD aux besoins fonctionnels et mettre en place des alertes sur les scans d’annuaire.;;;
T1018;Discovery;Remote System Discovery;Recherche de systèmes distants via ping, scan ou requêtes réseau.;Segmentation réseau, IDS qui alerte sur scans internes non autorisés et limitation des outils de découverte aux comptes autorisés.;;;
T1046;Discovery;Network Service Discovery;Enumération des services réseau exposés (ports, protocoles).;Firewalls internes qui bloquent les scans non autorisés, journalisation détaillée des sondages de ports et détection d’activités de découverte via IDS/IPS.;;;
T1135;Discovery;Network Share Discovery;Recherche de partages SMB/AFP accessibles sur le réseau.;Contrôles stricts des permissions SMB, surveillance des accès aux partages sensibles et DLP qui détecte les listes de fichiers massives.;;;
T1217;Discovery;Browser Information Discovery;Collecte d’informations sur le navigateur (plugins, extensions, version).;Durcissement des navigateurs d’entreprise, désactivation des plugins inutiles et monitoring des appels d’API du navigateur.;;;
T1518;Discovery;Software Discovery;Inventaire des logiciels installés sur le système cible.;CMDB sécurisée, contrôle d’installation via whitelisting (AppLocker/WDAC) et audits réguliers des binaires présents.;;;
T1518.001;Discovery;Security Software Discovery;Détection des solutions de sécurité présentes sur la cible (AV, EDR, etc.).;Masquer la présence des solutions de sécurité via configuration “stealth”, limiter les requêtes d’énumération et surveiller les tentatives d’identification d’AV.;;;
T1082;Discovery;System Information Discovery;Collecte d’informations système (OS, version, matériel, etc.).;Restreindre l’accès aux commandes sysinfo aux comptes autorisés, journaliser les appels WMI/PowerShell Get?ComputerInfo et appliquer le principe du moindre privilège.;;;
T1083;Discovery;File and Directory Discovery;Recherche de fichiers et répertoires sensibles sur le disque.;Contrôles ACL stricts, DLP qui bloque l’exfiltration massive de listes de fichiers et journalisation des accès à des répertoires critiques.;;;
T1613;Discovery;Container and Resource Discovery;Enumération des conteneurs, pods et ressources d’orchestration (Kubernetes, Docker).;RBAC strict dans l’orchestrateur, audit des appels API Kubernetes et limitation des comptes pouvant lister les ressources.;;;
T1652;Discovery;Device Driver Discovery;Recherche des pilotes installés et de leurs versions.;Signature obligatoire des drivers, monitoring du chargement de drivers non signés et restriction d’installation aux administrateurs uniquement.;;;
T1040;Discovery;Network Sniffing;Capture passive du trafic réseau interne pour collecter des informations.;Segmentation VLAN, chiffrement TLS interne, IDS qui détecte les interfaces en mode promiscous et désactivation du mode sniffing sur les postes non nécessaires.;;;
T1016;Discovery;System Network Configuration Discovery;Collecte de la configuration réseau (adresses IP, routes, interfaces).;Restreindre l’accès aux commandes ipconfig/netsh aux administrateurs, journaliser les changements de configuration réseau et appliquer le principe du moindre privilège.;;;
T1021;Lateral Movement;Remote Services;Utilisation de services distants (RDP, SMB, SSH, etc.) pour se déplacer latéralement.;MFA forte sur tous les accès distants, restriction par listes blanches d’adresses IP et journalisation détaillée des connexions.;;MFA forte sur accès RDP/SSH, restriction par IP autorisée et journalisation détaillée des connexions.;
T1021.001;Lateral Movement;Remote Desktop Protocol;Connexion via RDP vers un hôte cible.;MFA obligatoire sur RDP, Network Level Authentication, restriction d’accès par liste blanche d’IP et surveillance des sessions RDP inhabituelles.;;;
T1021.002;Lateral Movement;SMB/Windows Admin Shares;Utilisation des partages administratifs Windows pour copier/exécuter du code.;Désactiver les partages administratifs inutiles, appliquer le principe du moindre privilège sur les partages et monitorer les accès SMB atypiques.;;;
T1021.006;Lateral Movement;Windows Remote Management;Abus de WinRM pour exécuter des commandes à distance.;Restreindre WinRM aux comptes autorisés via GPO, MFA obligatoire et journalisation exhaustive des sessions WinRM.;;;
T1570;Lateral Movement;Lateral Tool Transfer;Transfert d’outils malveillants entre systèmes compromis.;Utiliser des canaux chiffrés autorisés uniquement, surveiller les transferts de fichiers inhabituels (SMB/WinRM/PowerShell Remoting) et bloquer les uploads non approuvés.;;;
